X,Y,Ponto,Data,X,Y,Medição,Período,Limite,LAEq,L90,LAEq_Rlaeq,L90_Rlaeq,Obs,icon_url
-49.3256612676014,-28.6032698850363,"1",2019/05/29,"663712","6834822",2019 Noturno,Noturno,"60",56.50,,Atende,,,./0.png
-49.3257189560736,-28.604145963976,"2",2019/05/29,"663705","6834725",2019 Noturno,Noturno,"60",55.10,,Atende,,,./0.png
-49.3256394415495,-28.6052910801736,"3",2019/05/29,"663711","6834598",2019 Noturno,Noturno,"60",55.80,,Atende,,,./0.png
-49.3256695274546,-28.6066180376716,"4",2019/05/29,"663706","6834451",2019 Noturno,Noturno,"60",59.10,,Atende,,,./0.png
-49.3257209845359,-28.60853184434,"5",2019/05/29,"663698","6834239",2019 Noturno,Noturno,"60",50.60,,Atende,,,./0.png
-49.3243750188578,-28.6089303353121,"6",2019/05/29,"663829","6834193",2019 Noturno,Noturno,"60",62.30,,Não atende,,Área de manobra (balança),./0.png
-49.3229737178837,-28.6089491039106,"7",2019/05/29,"663966","6834189",2019 Noturno,Noturno,"60",59.80,,Atende,,,./0.png
-49.3210417590861,-28.6088981157792,"8",2019/05/29,"664155","6834192",2019 Noturno,Noturno,"60",45.50,,Atende,,,./0.png
-49.3210516244443,-28.6076348248297,"9",2019/05/29,"664156","6834332",2019 Noturno,Noturno,"60",52.90,,Atende,,,./0.png
-49.3210370230594,-28.6066239133239,"10",2019/05/29,"664159","6834444",2019 Noturno,Noturno,"60",49.80,,Atende,,,./0.png
-49.321055712737,-28.6060917062651,"11",2019/05/29,"664158","6834503",2019 Noturno,Noturno,"60",56.00,,Atende,,,./0.png
-49.3210034083708,-28.6055225223791,"12",2019/05/29,"664164","6834566",2019 Noturno,Noturno,"60",49.80,,Atende,,,./0.png
-49.3203220250715,-28.6059292031892,"13",2019/05/29,"664230","6834520",2019 Noturno,Noturno,"60",48.00,,Atende,,,./0.png
-49.3203068882897,-28.6055951135528,"14",2019/05/29,"664232","6834557",2019 Noturno,Noturno,"60",50.30,,Atende,,,./0.png
-49.319544428189,-28.6059556638656,"15",2019/05/29,"664306","6834516",2019 Noturno,Noturno,"60",42.80,,Atende,,,./0.png
-49.3194594496383,-28.6055124158932,"16",2019/05/29,"664315","6834565",2019 Noturno,Noturno,"60",41.90,,Atende,,,./0.png
-49.3203232519041,-28.6045665367979,"17",2019/05/29,"664232","6834671",2019 Noturno,Noturno,"60",51.00,,Atende,,,./0.png
-49.3209921066655,-28.6043040906339,"18",2019/05/29,"664167","6834701",2019 Noturno,Noturno,"60",46.60,,Atende,,,./0.png
-49.3239597182894,-28.6022381279847,"19",2019/05/29,"663880","6834934",2019 Noturno,Noturno,"60",47.40,,Atende,,,./0.png
-49.3238420136094,-28.6032113073052,"20",2019/05/29,"663890","6834826",2019 Noturno,Noturno,"60",53.30,,Atende,,,./0.png
-49.3252842767483,-28.6031840090736,"21",2019/05/29,"663749","6834831",2019 Noturno,Noturno,"60",53.50,,Atende,,,./0.png
-49.3256612676014,-28.6032698850363,"1",2020/10/28,"663712","6834822",2020 Diurno,Diurno,"70",66.43,69.80,Atende,Atende,,./0.png
-49.3257189560736,-28.604145963976,"2",2020/10/28,"663705","6834725",2020 Diurno,Diurno,"70",60.74,64.10,Atende,Atende,,./0.png
-49.3256394415495,-28.6052910801736,"3",2020/10/28,"663711","6834598",2020 Diurno,Diurno,"70",63.30,66.20,Atende,Atende,,./0.png
-49.3256695274546,-28.6066180376716,"4",2020/10/28,"663706","6834451",2020 Diurno,Diurno,"70",67.91,68.70,Atende,Atende,,./0.png
-49.3257209845359,-28.60853184434,"5",2020/10/28,"663698","6834239",2020 Diurno,Diurno,"70",62.81,64.30,Atende,Atende,,./0.png
-49.3243750188578,-28.6089303353121,"6",2020/10/28,"663829","6834193",2020 Diurno,Diurno,"70",74.31,78.80,Não atende,Não Atende,Influência rua Ambrósio Dalló,./1.png
-49.3229737178837,-28.6089491039106,"7",2020/10/28,"663966","6834189",2020 Diurno,Diurno,"70",71.54,73.80,Não atende,Não Atende,Influência rua Ambrósio Dalló,./1.png
-49.3210417590861,-28.6088981157792,"8",2020/10/28,"664155","6834192",2020 Diurno,Diurno,"70",64.85,67.50,Atende,Atende,,./0.png
-49.3210516244443,-28.6076348248297,"9",2020/10/28,"664156","6834332",2020 Diurno,Diurno,"70",57.44,59.40,Atende,Atende,,./0.png
-49.3210370230594,-28.6066239133239,"10",2020/10/28,"664159","6834444",2020 Diurno,Diurno,"70",57.01,60.00,Atende,Atende,,./0.png
-49.321055712737,-28.6060917062651,"11",2020/10/28,"664158","6834503",2020 Diurno,Diurno,"70",57.37,61.20,Atende,Atende,,./0.png
-49.3210034083708,-28.6055225223791,"12",2020/10/28,"664164","6834566",2020 Diurno,Diurno,"70",54.83,58.50,Atende,Atende,,./0.png
-49.3203220250715,-28.6059292031892,"13",2020/10/28,"664230","6834520",2020 Diurno,Diurno,"70",58.08,59.40,Atende,Atende,,./0.png
-49.3203068882897,-28.6055951135528,"14",2020/10/28,"664232","6834557",2020 Diurno,Diurno,"70",60.23,59.90,Atende,Atende,,./0.png
-49.319544428189,-28.6059556638656,"15",2020/10/28,"664306","6834516",2020 Diurno,Diurno,"70",48.55,48.70,Atende,Atende,,./0.png
-49.3194594496383,-28.6055124158932,"16",2020/10/28,"664315","6834565",2020 Diurno,Diurno,"70",53.19,51.60,Atende,Atende,,./0.png
-49.3203232519041,-28.6045665367979,"17",2020/10/28,"664232","6834671",2020 Diurno,Diurno,"70",66.72,66.90,Atende,Atende,,./0.png
-49.3209921066655,-28.6043040906339,"18",2020/10/28,"664167","6834701",2020 Diurno,Diurno,"70",52.56,54.80,Atende,Atende,,./0.png
-49.3239597182894,-28.6022381279847,"19",2020/10/28,"663880","6834934",2020 Diurno,Diurno,"70",62.21,66.60,Atende,Atende,,./0.png
-49.3238420136094,-28.6032113073052,"20",2020/10/28,"663890","6834826",2020 Diurno,Diurno,"70",62.92,66.70,Atende,Atende,,./0.png
-49.3252842767483,-28.6031840090736,"21",2020/10/28,"663749","6834831",2020 Diurno,Diurno,"70",66.01,69.20,Atende,Atende,,./0.png
-49.3256612676014,-28.6032698850363,"1",2020/10/28,"663712","6834822",2020 Noturno,Noturno,"60",60.47,55.70,Não atende,Atende,Influência rua Maximiliano Gaidizinski,./2.png
-49.3257189560736,-28.604145963976,"2",2020/10/28,"663705","6834725",2020 Noturno,Noturno,"60",54.85,50.00,Atende,Atende,,./0.png
-49.3256394415495,-28.6052910801736,"3",2020/10/28,"663711","6834598",2020 Noturno,Noturno,"60",56.15,50.10,Atende,Atende,,./0.png
-49.3256695274546,-28.6066180376716,"4",2020/10/28,"663706","6834451",2020 Noturno,Noturno,"60",63.07,55.70,Não atende,Atende,Influência rua Maximiliano Gaidizinski,./2.png
-49.3257209845359,-28.60853184434,"5",2020/10/28,"663698","6834239",2020 Noturno,Noturno,"60",55.10,45.60,Atende,Atende,,./0.png
-49.3243750188578,-28.6089303353121,"6",2020/10/28,"663829","6834193",2020 Noturno,Noturno,"60",53.84,50.50,Atende,Atende,,./0.png
-49.3229737178837,-28.6089491039106,"7",2020/10/28,"663966","6834189",2020 Noturno,Noturno,"60",58.83,50.70,Atende,Atende,,./0.png
-49.3210417590861,-28.6088981157792,"8",2020/10/28,"664155","6834192",2020 Noturno,Noturno,"60",61.94,45.80,Não atende,Atende,Influência rua Ambrósio Dalló,./2.png
-49.3210516244443,-28.6076348248297,"9",2020/10/28,"664156","6834332",2020 Noturno,Noturno,"60",52.91,45.60,Atende,Atende,,./0.png
-49.3210370230594,-28.6066239133239,"10",2020/10/28,"664159","6834444",2020 Noturno,Noturno,"60",50.65,50.00,Atende,Atende,,./0.png
-49.321055712737,-28.6060917062651,"11",2020/10/28,"664158","6834503",2020 Noturno,Noturno,"60",53.53,50.60,Atende,Atende,,./0.png
-49.3210034083708,-28.6055225223791,"12",2020/10/28,"664164","6834566",2020 Noturno,Noturno,"60",52.92,50.50,Atende,Atende,,./0.png
-49.3203220250715,-28.6059292031892,"13",2020/10/28,"664230","6834520",2020 Noturno,Noturno,"60",67.67,46.20,Não atende,Atende,Influência de latidos de cachorros,./2.png
-49.3203068882897,-28.6055951135528,"14",2020/10/28,"664232","6834557",2020 Noturno,Noturno,"60",52.04,50.50,Atende,Atende,,./0.png
